user_id,channel,option,review,membership,recom_point
phj1364,MOBILE,일반용량 120ml,"ㄷㅏ른 타사 제품보다
살짜 비싸더라두여
그래서 원플원해서 삿너여 ~~~~~!!
진저파우더랑 같이삿는데
요게 더 이쁘고 그러네용 ~~~
원플러스원으로싸게삿어요 !! 
진저파우더랑 같이삿는데
요게 더 이쁘고 그러네용 ~~~
원플러스원으로싸게삿어요 !! 
",일반,5
pinkara85,MOBILE,대용량 250ml,120ml구매하려다가 가성비갑이라고 매장에서 추천해주셔서250ml 로 구매.심지어.1&amp;#43;1.ㅋㅋㅋㅋㅋㅋㅋ 전에 친구집에서 사용해보고 너무 깨끗하게 샤샥 지워지는 데다가 순하게 눈에도 부담없구... 무엇보다 성분이 착해서 맘에듬.ㅋ,일반,5
nykim0731,MOBILE,일반용량 120ml,"그냥 세일하길래 사봤는데 아주 잘지워져요!!
평소 매번 애용하는거 없이 그냥 세일하면 세일하는데로 아무 브랜드꺼 사서 쓰는 편인데 립앤아이 리무버는
앞으로 이거 계속 사용하면 좋겟네요
원플러스 원으로 싸게 구입했는데
괜히 순한느낌이고 잘지워져요
가끔 잘안지워지는건 갠히 손가락 힘만쎄져서 눈쎄개 비벼서 엄청 안좋은느낌인데 이건 좋네요!!",스마트클럽,5
suribu86,MOBILE,일반용량 120ml,1&amp;#43;1할때 사서싸게잘삼 눈이조금따가운거빼고좋음,스마트클럽,4
pgh97527,MOBILE,일반용량 120ml,완전 잘 지워지고 항상 세일 때마다 쟁여놓는 것 같아요💕마스카라를 해도 완전 쨍쨍하게 지워지고 눈에 들어가도 그렇게 아픈 느낌이 없어서 더 좋은 것 같아요. 타제품 쓰다가 갈아탔는데도 전혀 후회 안하고 왜 일찍 안 바꿨나 후회중이에요ㅠㅠ꼭 사세요!두번 사세요!!,일반,5
dbfl2577,MOBILE,대용량 250ml,리무버 중엔 이게 젤 만만한거 같아요 가격대비 좋아요 매번 재구매 하고 있답니다 행사할때 사야 좋은데 정가에 사면 먼가 손해보는 느낌이 있긴하지만 그래도 떨어지면 매번 사는 아이템 입니다 다음에 또 구매할게요 ㅎㅎㅎ 감사합니다,일반,5
zzinaro,MOBILE,일반용량 120ml,평소 쓰던 립&amp;앤 아이 리무버가 영 제 구실을 못해 뭘 살까 인터넷 서치를 하다가.. 순하고 잘 지워진다는 문구에 혹해서 구매하러 갔는데 1&amp;#43;1까지 하다니.. 마당쓸고 돈 줍는격이군요! 제품 사용전인데 워낙 유명한 제품이니 좋을거라 믿고 쓰겠습니다.,일반,5
dbfl2577,MOBILE,대용량 250ml,매번 구매하는 상품이에요 순하고 좋아요 행사할땐 꼭 쟁여둔답니다 ㅎㅎㅎㅎ 다 쓰면 또 살꺼에요ㅋㅋㅋ매번 구매하는 상품이에요 주변에도 이거 추천합니다 뽀오얀 미소 발효 립앤 아이 리무버 하나로 다 지울 수 있어 편해요 ㅎㅎ,일반,5
thtla08,MOBILE,대용량 250ml,아이라인과 마스카라 사용휴 그냥 클린징티슈만으로 지우기엔 부족한거 같아 사용하게된 리무버 원뿔로 시작햇는데 여전히 저의 리무버로 선택되엇음여,일반,5
thddory239,MOBILE,대용량 250ml,좋아오오오오오호오ㅎㅎ ㄷ,일반,5
dbcodud153,MOBILE,대용량 250ml,항상 쓰던 리무버지만 잘 지워지고 눈에 들어가도 엄청 안 따가운 것 같아서 좋아요 마스카라랑 아이라인 둘 다 쓱싹 쓱싹 잘 지워지고 한 번에 싹 지워지는 게 좋네요 가격대비 양도 많고 아주 좋습니다 다음에 또 구매할게요,스마트클럽,5
my2420,MOBILE,대용량 250ml,항상 쓰는 제품이고 저렴하게 구매해서 만족합니다 아이리부버 중에 가성비 제일 좋은 것 같아요 아리따움 1&amp;#43;1 행사할때 꼭 쟁여 두는 템들이 몇가지 있는데 이번에도 놓치지 않고 겟했습니다 클렌징 잘 되고 용량도 많아서 떨어질때 쯤 계속 쓰고있어요 추천합니다~,스마트클럽,5
santovvi,MOBILE,대용량 250ml,뽀오얀 리무버는 작년에 알게 된 후로부터 가장 애정하는 제품입니다. 피부가 예민해서 트러블도 잦고 리무버 잘못쓰면 얼굴이 화끈 따끔할 정도로 맞는걸 찾기 어려웟는데 뽀오얀은 자극성 1도 없고 화장은 부드럽게 잘 지워져서 트러블도 많이 줄었어요. 다음에 또 삽니다!,일반,5
choi1213sfp,MOBILE,일반용량 120ml,큰 것도 작은 것도  사실  내용물은 같아서  큰게 단위 가격은  저렴한것  같지만  화장대에 놓구 쓰기엔   작은게 편해서ㅎㅎㅎ  흔들어서 솜에 충분히 적셔주구 쓰면  아이나 립메이크업 깔끔하게  지워져용  자극두 안심해서 좋아여,일반,5
lgb9085,MOBILE,대용량 250ml,"매번  쓰던거라 1&amp;#43;1 할 때 꼭 쟁여두는 물품 중 하나입니다. ㅎㅎ
자극적이지도 않고 순해서 정말 좋아요!
향도 베이비파우더향이라 더 순하게 느껴지는 느낌적인 느낌.. 닦을때도 기분좋게 닦을 수 있는 향이에요!  잘닦이는것은 기본이구요!",스마트클럽,5
astro415,MOBILE,대용량 250ml,작년 언젠가 우연찮게 블로그 후기글을 보고 구매한후 립앤아이 리무버는 계속 이 제품만 써요. 우선 자극적이지 않아서 좋아요. 눈화장 지울때는 어쩔 수 없이 눈에 살짝 들어갈 수 밖에 없는데 전혀 느껴지지 않을 만큼 순해요. 순한 제품을 안 써 본건 아니지만 그런 제품은 반면 잘 지워지지 않는데 뽀오얀은 남김 없이 잘 지워집니다. 항상 쓰는 제품이라 1&amp;#43;1행사 할 때 미리 사두는 편이에요~,일반,5
rkgml6542,MOBILE,대용량 250ml,"2년 가까이 이 제품을 사용하고 있는데 그만큼 클렌징이 잘 되는 제품이고 무난해서 잘 사용하고 있는 것 같아용 ㅎㅎ 전에는 ㅁㄱㅅ라는 제품 사용했었는데 그건 화장이 남아있고 찝찝한 느낌이 많이 들었어용 ㅠ 그래서 이걸로 갈아탔는데 왜 사람들이 추천하는지 알겠더라구요! 이번에 원플원 행사해서 득템했습니다 ,, ㅎㅎ 원플원 행사 많이 했으면 좋겠어용!",일반,5
duswn4802,MOBILE,일반용량 120ml,1&amp;#43;1에 구매했는데 잘 쓸거같애요,스마트클럽,5
pianoalswjd,MOBILE,대용량 250ml,"항상 이것만 써요!!! 급하게 다른 제품들 샀다가도 이걸로 다시 돌아오게 돼요 대부분의 다른 제품들보다 이게 훨신 더 깔끔하게 잘지워지는 것 같아요!!!
 무엇보다 용량이 크기때문에 1&amp;#43;1할 때 사 놓으면 오래 쓸 수 있어서 정말 좋아요!!!
다쓰면 재구매 할거예요!!!",일반,5
eofkstn,MOBILE,대용량 250ml,"눈에 부담없이 쓸수 있어요
가격도 저렴해서 만족스럽게 사용할거 같아요
다른 제품은 쓰고나서 눈이 아프고나 다음날 눈이 시리든지 혹은 뻑뻑한 느낌이 있는데 괜찮습니당
렌즈를 착용하기 때문에 눈에 저자극 제품을 늘 찾는데 쓸만합니당
가격대비 착한 제품인거 같아용!!!!!!!",일반,5
liegirls2,MOBILE,일반용량 120ml,"자주 애용해요 요번 세일에 1&amp;#43;1이라 더 좋았어요
순하고 잘 지워져요",일반,5
qkrtmdfl95,MOBILE,대용량 250ml,"1&amp;#43;1할때 사서 저렴하게 구매했습니다. 늘 이 제품 사용하는데, 순하고 좋은것 같습니다!",프라임,5
jnh0_25,MOBILE,대용량 250ml,"아이리무버 다 사용했는데 마침 아리따움에서 1&amp;#43;1 행사 하길래 하나 구매했습니다. 눈화장, 색조화장이 진한편인데 잘 지워져서 좋고 앞으로도 계속 사용 할 것 같습니다. 다른 곳 보다 가격도 합리적인 편이라 더 좋아요. ",스마트클럽,5
rnjsth9701,MOBILE,일반용량 120ml,지금까지 8통 정도 썼어요. 다른 리무버도 써봤는데 마스카라가 잘 안지워지거나 눈이 따가웠는데 뽀오얀은 마스카라도 잘 지워지고 눈 앞이 뿌얘지는 것도 없어서 립앤아이 리무버 중에서 제일 만족하고 사용하는 제품이에요! 큰 용량으로만 사다가 1&amp;#43;1행사때 작은 용량밖에 없어서 용량 작은걸로 샀는데 크기가 정말 작네요ㅠㅠ세일때 매장에 재고가 많았으면 좋겠어요....,일반,5
hye00214,MOBILE,대용량 250ml,매일매일 쓰는거라 넘 순하고 좋습니다 대용량이라서 원플원할때 사면 진짜 너무 저렴하고 좋아요 키스미 제품도 깔끔하게 지워주는 세정력이라 뭐 믿고 씁니다 눈도 안따갑고 이 만한 아이리무버 찾기 힘들 거 같습니다  감사합니다,스마트클럽,5
wowwowsma,MOBILE,일반용량 120ml,이건 좋다고 입소문났자나요 그래서 샀습니다 좋을거 같네요 거기다 할인까지 해서 좋네요!!!! 이건 좋다고 입소문났자나요 그래서 샀습니다 좋을거 같네요 거기다 할인까지 해서 좋네요!!!! 이건 좋다고 입소문났자나요 그래서 샀습니다 좋을거 같네요 거기다 할인까지 해서 좋네요!!!! ,일반,5
zeyeyo,MOBILE,대용량 250ml," 순하고 잘 지워져요
순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요
순하고 잘 지워져요순하고 잘 지워져요순하고 잘 지워져요
",프라임,5
hellokiki09,APP,대용량 250ml,1&amp;#43;1 하길래 얼른 사놨어요~ 항상 쓰다보니 쟁여놨어요 ㅋㅋ,일반,5
aa5449,MOBILE,대용량 250ml,"대용량 1&amp;#43;1 행사에 구입했어요!
매번 쓰는 제품이라서 당장 구매했습니다
눈도 안아프고 잘 지워져서 쟁여두고 써요~
뽀오얀 시리즈 너무 잘쓸게요!
립앤아이리무버를 찾으신다면?
뽀오얀 미소 발효 립 &amp; 아이 리무버를 사용해보세요!
특히 세일기간에 쟁여두시면 좋아요~",일반,5
lsl85,APP,대용량 250ml,이번이 2번째 구매엥요~~잘지워지고 눈이 따갑지 않아서 좋아요~대용량 1&amp;#43;1 이라서 좋네요^^,일반,5
jeesy313,MOBILE,대용량 250ml,몇통째 쓰고 있는데 1&amp;#43;1 때 쟁여 놓으면 좋아요 ㅎㅎ,일반,5
tajmahal,MOBILE,대용량 250ml,자극이 없어 좋아요,일반,5
smlove1215,MOBILE,대용량 250ml,"항상 쓰는 제품이에요~~
세정력 진짜 좋구요 
이거쓰다보면 다른제품은 절대 못써요ㅠㅠ
 지금 5통째 쓰고 있는데~ 
이번에 기획으로 1&amp;#43; 1 해서 2통 샀네요~~~^^
관련 기획도 많이 해주셨으면 좋겠어요! 휴대용으로 미니도 나오면 더 좋을듯 하네요^^
",일반,5
plain2203,MOBILE,대용량 250ml,"이것만써요~~
세일할때  쟁여놓고 써요^^",일반,5
ccss711,MOBILE,일반용량 120ml,아직 써보진 않앗지만 기대중이에요,일반,5
bella72,APP,일반용량 120ml,따갑지도 않고 괜찮아요,스마트클럽,5
xldkfk1238,MOBILE,대용량 250ml,오일로 눈화장 지우다가 이번에 뽀오얀 리무버 사서 사용해봤더니 오일로 지울때는 펄이 얼굴에 다묻어가지고 불편했는데 이거는 눈만깔끔히 지우니깐 펄도 안묻고 진한눈화장도 정말 잘지워지고 좋은거같아용 다만 단점을 고르자면 눈에 들어가면 따가워서 불편하지만 그거빼고는 다좋은듯 ㅠ,일반,4
sinwoolove12,MOBILE,일반용량 120ml,리무버 세일해서 쟁여두려고 샀어요 성분착하고 가격도 착해서 세일할땐 꼭 사두는 편이에요 타제품도 좋은거 많지만 가격대비 아리따움이 괜찮네요 저는 눈화장을 자주하진않아서 용랑 작은걸로 샀어요 화장 자주하는사람들은 큰거사서 쓰는게 나을듯요 ,일반,5
gkhgil,MOBILE,대용량 250ml,몇통째 사용하고 있어요~😍,일반,5
neh77,MOBILE,대용량 250ml,"깨끗하게 메이크업이 지워져서 좋아요.
눈이 예민한데 이건 ㄸ갑지 않아서 안심하고 사용해요",일반,5
thebest828,MOBILE,대용량 250ml,워터프루프 아이메이크업 하는데 저려미치고 잘 지워져서 너무 좋아요 앞으로도 일대일 행사 자주 했으면 좋겠고 좋은 제품이 단종이 많이 되어서 섣불리 걱정이 되기도 하는데 뽀오얀 아이리무버는 단종되지말구 영원히 쭈욱 판매될수있게 해주세용~~^^,프라임,5
love173302,MOBILE,대용량 250ml,오 이벤트 1&amp;#43;1으로 샀는데 덕분에 가성비는 미친듯이 좋고요 . 역시 아리따움이라 생각됩니다 .,스마트클럽,5
tnwjdrjdwb02,PC,일반용량 120ml," 다써서 또 샀습니다~~~
 항상 리무버는 이 뽀오얀 미소 발효 립&amp;아이 리무버를 사용하는 것 같네요ㅎㅎㅎ
 그렇게 자극적이지는 않아서 계속 쓰고 있기는 합니다~
 다 쓰면 또 구매하도록 하겠습니다~~
 좋은 하루 되세요^^!!!",일반,5
yin2447,MOBILE,대용량 250ml,"원래 쓰던 제품이라 재구매 했습니다..
1&amp;#43;1 행사로 저렴하게 구매했어요
순하고 잘 지워져서 좋아요 ㅎㅎ",일반,5
